"","Drug","Targets","Disease","Enrichment.biomarker","Biomarker.Gene.ID","Biomarker.relationship","Biomarker.logical.conditions","Marker.type","Note","drug_drugbank_standard","drug_pubchem","biomarker_ensembl_standard","diseases_EFO_MONDO_standard","biomarker_term","QC"
"1","ABACAVIR","NRTI","AIDS","HLA-B",NA,"negative",NA,"polymorphism",NA,"DB01048","29969962","ENSG00000234745","EFO_0000765","HLA-B POLYMORPHISM NEGATIVE","pass"
"2","ABEMACICLIB","CDK4; CDK6","(HER2)-NEGATIVE ADVANCED OR METASTATIC BREAST CANCER","ESR, ERBB2","2099, 2064","positive, negative","AND","protein expression, protein expression & amplification",NA,"DB12001","46220502","ENSG00000091831, ENSG00000141736","MONDO_0007254","ESR PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION & AMPLIFICATION NEGATIVE","pass"
"3","ADO-TRASTUZUMAB   EMTANSINE","HER2","HER2-POSITIVE BREAST CANCER","ERBB2","2064","positive",NA,"protein expression & amplification",NA,"NA","NA","ENSG00000141736","EFO_1000294","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE","failed drug"
"4","AFATINIB","EGFR (L858R); EGFR (L858R/T790M); EGFR (wt); HER2; ErbB4","LUNG CANCER","EGFR",NA,"positive",NA,"mutation",NA,"DB08916","10184653","ENSG00000146648","MONDO_0008903","EGFR MUTATION POSITIVE","pass"
"5","ALECTINIB","ALK; ALK (F1174L); ALK (R1275Q); INSR; VEGFR2 (KDR)","NON-SMALL CELL LUNG CANCER THAT HAS SPREAD TO OTHER PARTS OF THE BODY","ALK",NA,"positive",NA,"protein expression",NA,"DB11363","53239799","ENSG00000171094","EFO_0003060","ALK PROTEIN EXPRESSION POSITIVE","pass"
"6","ALPELISIB","PI3Kα; p110α; p110γ","ADVANCED OR METASTATIC BREAST CANCER","ESR, ERBB2, PIK3CA",NA,"positive, negative,positive","AND,AND","protein expression, protein expression & amplification,  mutation",NA,"DB12015","56649450","ENSG00000091831, ENSG00000141736, ENSG00000121879","MONDO_0007254","ESR PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION & AMPLIFICATION NEGATIVE AND PIK3CA MUTATION POSITIVE","pass"
"7","AMIFAMPRIDINE","potassium channel","LAMBERT-EATON MYASTHENIA SYNDROME IN ADULTS","NAT2",NA,"positive",NA,"polymorphism",NA,"DB11640","9920716","ENSG00000156006","MONDO_0023370","NAT2 POLYMORPHISM POSITIVE","pass"
"8","AMIFAMPRIDINE PHOSPHATE","potassium channel","LAMBERT-EATON SYNDROME","NAT2",NA,"positive",NA,"polymorphism",NA,"NA","9920716","ENSG00000156006","MONDO_0023370","NAT2 POLYMORPHISM POSITIVE","pass"
"9","AMITRIPTYLINE","5-HT; 5-HT2; 5-HT4; Norepinephrine receptor; σ1","DEPRESSION","CYP2D6",NA,"positive",NA,"polymorphism",NA,"DB00321","11065","ENSG00000100197","EFO_0003761","CYP2D6 POLYMORPHISM POSITIVE","pass"
"10","AMOXAPINE","GlyT1b; GlyT2a","DEPRESSION","CYP2D6",NA,"positive",NA,"polymorphism",NA,"DB00543","2170","ENSG00000100197","EFO_0003761","CYP2D6 POLYMORPHISM POSITIVE","pass"
"11","AMPHETAMINE",NA,"ATTENTION DEFICIT HYPERACTIVITY DISORDER,OBESITY","CYP2D7",NA,"missing",NA,"polymorphism",NA,"DB00182","5826","ENSG00000205702","EFO_0001073","CYP2D7 POLYMORPHISM MISSING","pass"
"12","ANASTROZOLE","Aromatase","BREAST CANCER IN POSTMENOPAUSAL WOMEN","ESR, PGR",NA,"positive, positive",NA,"protein expression, protein expression",NA,"DB01217","2187","ENSG00000091831, ENSG00000082175","MONDO_0007254","failed","failed term"
"13","ARFORMOTEROL","β2-adrenergic receptor","CHRONIC OBSTRUCTIVE PULMONARY DISEASE","UGT1A1, CYP2D6",NA,"positive, positive","AND/OR","polymorphism, polymorphism",NA,"DB01274","9827062","ENSG00000241635, ENSG00000100197","EFO_0000341","UGT1A1 POLYMORPHISM POSITIVE AND/OR CYP2D6 POLYMORPHISM POSITIVE","pass"
"14","ARIPIPRAZOLE   LAUROXIL","5-HT2A","SCHIZOPHRENIA AND BIPOLAR DISORDER,MAJOR DEPRESSION,TOURETTE'S DISEASE OR AUTISM","CYP2D6",NA,"positive",NA,"polymorphism",NA,"NA","49831411","ENSG00000100197","EFO_0000289","CYP2D6 POLYMORPHISM POSITIVE","pass"
"15","ARSENIC TRIOXIDE","HK2(Hexokinase 2)","BLOOD AND BONE MARROW CANCERS","PML-RARA",NA,"positive",NA,"translocation",NA,"DB01169","NA","ENSG00000133246","MONDO_0021138","PML-RARA TRANSLOCATION POSITIVE","pass"
"16","ARTICAINE, EPINEPHRINE",NA,"ANESTHESIOLOGY,BEFORE DENTAL CARE TO NUMB THE AREA","G6PD",NA,"positive",NA,"protein expression",NA,"DB09009,DB00668","32170, 5816","ENSG00000160211","OTAR_0000018","G6PD PROTEIN EXPRESSION POSITIVE","pass"
